Total documents found: 188
ID: c30494c9-6da1-43c3-b631-faa5bec42580 | Original Name: Principal Component Analysis (PCA)_.pdf | Scope: PERSONAL | Status: completed | Filename: d418cfa6-f57b-43a6-83c7-d65dd3ed9950.pdf
ID: 12d53649-a99f-4694-b231-b62b9e3a905f | Original Name: ocr-test.png | Scope: PERSONAL | Status: completed | Filename: 369496bf-b1fb-44ec-9808-35b8685f3756.png
ID: 500763b2-eb37-4b26-979d-ab3177a1507d | Original Name: ocr-test.png | Scope: PERSONAL | Status: completed | Filename: 7b26006d-7b7b-46c1-8622-8d3026cc0c46.png
ID: fd9f05b5-5cb2-4422-bfed-58a9b0d4dc13 | Original Name: ocr-test.png | Scope: PERSONAL | Status: completed | Filename: 2e9b0598-2942-482b-b658-a1796612452e.png
ID: 0997b422-cbdc-42f3-87e2-b622d3cf2e86 | Original Name: ocr-test.png | Scope: PERSONAL | Status: completed | Filename: e37755d9-3b1b-45cc-ad04-8ebc98dd6d5e.png
ID: 57f15cae-3a74-4481-af54-c1aa9ee0a28f | Original Name: Principal Component Analysis (PCA)_.pdf | Scope: PERSONAL | Status: completed | Filename: 56963d32-e582-48de-8b89-e3e4d69251a8.pdf
ID: 6deb5500-808d-42db-a558-a6afa4d25b29 | Original Name: ocr-test.png | Scope: PERSONAL | Status: completed | Filename: 01f6bf2c-58f1-4793-88ea-79760d1a988e.png
ID: 78494d28-ed30-4abf-ab57-e59ac798e6ba | Original Name: ocr-test.png | Scope: PERSONAL | Status: completed | Filename: 0e2dd095-5f98-4a39-844b-52669d10e24f.png
ID: 5dde9ed1-5205-4817-bc8a-2f6f0eb1804b | Original Name: 28. K-Means Clustering_ (1).pdf | Scope: PERSONAL | Status: completed | Filename: 6931867a-1c00-416a-92a8-673d1d74cb59.pdf
ID: 7ba4c602-e896-46e7-a5cf-fe9b75433d21 | Original Name: K-Median Clustering (1).pdf | Scope: PERSONAL | Status: completed | Filename: 7aa79ed7-a596-4cc3-b67d-3b2fd0a39649.pdf
ID: cbef301d-912a-4b52-8144-da636cff257c | Original Name: T&P Regulations_2027 Batch.pdf | Scope: PERSONAL | Status: completed | Filename: d7f7d3d1-0213-4627-a99b-ecae9aa0b3f1.pdf
ID: 6eb985a6-2072-454b-bdac-660ada27bd4a | Original Name: 2305605_tnp.pdf | Scope: PERSONAL | Status: completed | Filename: 9932b405-586c-4b7c-8194-834742fadd91.pdf
ID: d0a146e2-9863-4663-bd4f-689aea156d8d | Original Name: archi_kanungo (3).pdf | Scope: PERSONAL | Status: completed | Filename: fa41b25c-e14f-41f0-a84a-d903f1db2901.pdf
ID: 75a9ef42-b17a-47d2-942d-ba215b86c941 | Original Name: certificate (1).pdf | Scope: PERSONAL | Status: completed | Filename: 2ed658d3-3cbe-47fa-b1da-c31e503d30d2.pdf
ID: ed50145a-01bd-498b-9647-4813d19ad0f8 | Original Name: Archi Kanungo-Go for Gold-iAspire certificate.pdf | Scope: PERSONAL | Status: completed | Filename: 8f8c2629-a02f-499e-a735-9eccea3d5048.pdf
ID: e6514c93-0d90-40b4-b1b7-dbc40fd9e016 | Original Name: id (2).pdf | Scope: PERSONAL | Status: completed | Filename: d563ecb4-af80-4822-9a58-954d8f828505.pdf
ID: 2697096d-5bab-447c-97ba-d297a1715fe6 | Original Name: kiit-id.jpg | Scope: PERSONAL | Status: completed | Filename: e52ebdbd-a5ac-4f3a-8a9a-12b75189145f.jpg
ID: 5a919de2-9bb4-4e65-b8a4-ef37afdd4c1e | Original Name: id (2)_page-0001.jpg | Scope: PERSONAL | Status: completed | Filename: c90182c9-d2ff-4f46-be38-aa0df73d76e0.jpg
ID: 64e00fbe-72ca-457d-afe5-43e497983fcd | Original Name: resumee_.pdf | Scope: PERSONAL | Status: completed | Filename: a2cf68c2-425e-445b-8501-df32ad71f88e.pdf
ID: 802bc602-5a9d-4df6-94e1-3bc02c24539a | Original Name: cisco_image.jpeg | Scope: PERSONAL | Status: completed | Filename: 2eecfa63-d61c-4373-a91a-0b7dffcb4e69.jpeg
ID: 97587bf4-e689-4ece-a9d5-35fe9e4dc7ce | Original Name: semester_grade_report.pdf | Scope: PERSONAL | Status: completed | Filename: e1496fec-1714-4584-b7ef-584cdb556514.pdf
ID: edbf824a-aa33-4e8c-bf46-e739f9b3494c | Original Name: ET-AI_Hackathon_2026_Certificate_Archi_Kanungo.pdf | Scope: PERSONAL | Status: completed | Filename: 305ae98b-6222-4d39-b3fa-15f85c933e58.pdf
ID: 8de8e4ad-f928-481b-9e26-263c7b3eaed3 | Original Name: ET-AI_Hackathon_2026_Certificate_Archi_Kanungo_page-0001.jpg | Scope: PERSONAL | Status: completed | Filename: 20123302-6bee-4200-a99b-487f8f05207a.jpg
ID: d8c742ef-2c16-4752-8987-fef2a598660e | Original Name: archi_kanungo (4).pdf | Scope: PERSONAL | Status: completed | Filename: c8770914-8261-4b00-a20d-e111e5978309.pdf
ID: bf6c1587-efb9-4018-a8ac-18c400ff9a72 | Original Name: WhatsApp Image 2026-05-12 at 19.46.30.jpeg | Scope: PERSONAL | Status: completed | Filename: e8f3657c-5923-47f4-91d2-2a9ee1145784.jpeg
ID: 98ff9588-f6f9-4482-9d1f-a5ca64001ed8 | Original Name: WhatsApp Image 2026-05-12 at 19.46.31.jpeg | Scope: PERSONAL | Status: completed | Filename: 84ef3bb3-8e6f-4b4d-84c6-32f755b7a4b6.jpeg
ID: 5cc7daeb-7a9a-4404-864d-416e153aa783 | Original Name: WhatsApp Image 2026-05-12 at 19.46.31 (1).jpeg | Scope: PERSONAL | Status: completed | Filename: f56e8241-1209-4015-88c4-ce21fa848bcd.jpeg
ID: 8cc6db4b-34b2-4cb3-ac26-e46011361dec | Original Name: WhatsApp Image 2026-05-12 at 19.46.32.jpeg | Scope: PERSONAL | Status: completed | Filename: 4bda64f6-c252-421e-936a-304ded0cf902.jpeg
ID: b106c5ca-fba0-48e0-8b0e-2abf92a4343f | Original Name: 87ebf7324d86e2a5ed65305a5127aaca.jpg | Scope: PERSONAL | Status: completed | Filename: 08113199-78a3-4a93-834a-e433466f6152.jpg
ID: 044f384e-0982-455b-b227-91e81d934a6c | Original Name: archi2.jpg | Scope: PERSONAL | Status: completed | Filename: ee03c792-be85-4767-bab0-b1f08c6fc6bd.jpg
ID: 1c9bc6c1-5003-4570-bf7a-e8a05475ddbf | Original Name: archi_kanungo (5).pdf | Scope: PERSONAL | Status: completed | Filename: 91f6c9d1-b907-4665-83aa-e8030b929bda.pdf
ID: 4b9aebab-d58f-4bc4-a748-a4ea940d8432 | Original Name: WhatsApp Image 2026-05-14 at 16.39.52.jpeg | Scope: PERSONAL | Status: completed | Filename: 2e84a8ea-bae6-4e20-afd7-e3e7bfea5048.jpeg
ID: 7a77ff56-c5ea-4d44-afbb-93d46888d55c | Original Name: Naming convention.pdf | Scope: PERSONAL | Status: completed | Filename: 05953514-4b07-4883-a52c-0b8c195ed4fe.pdf
ID: 60df50bd-2463-4f32-8670-8ef8145652dc | Original Name: 2027 Campus hiring DN 5.0_ JAVA FSE_Student brochure.pdf | Scope: PERSONAL | Status: completed | Filename: 0ad6fd48-a2e7-43b9-813c-a7e50114db7c.pdf
ID: b0c78e98-d86e-4a5b-9cf7-3fafacccc62d | Original Name: WhatsApp Image 2026-05-15 at 02.25.48.jpeg | Scope: PERSONAL | Status: completed | Filename: 4f35e36d-4ebe-4a51-9f33-1fd5346f648f.jpeg
ID: 69a40cd6-85ba-4d31-81e0-88d742b5919a | Original Name: cool_fun_elements.jpg | Scope: PERSONAL | Status: completed | Filename: e2b40186-925d-47ce-9b37-5c5b74675331.jpg
ID: e12017f3-185e-4138-95c8-93c22f950033 | Original Name: feels_like_a_wallet.jpg | Scope: PERSONAL | Status: completed | Filename: 2eb57934-433b-4220-a113-dcf000910384.jpg
ID: 11216f15-5394-4f22-8172-9dd8ff082403 | Original Name: ui_interface.jpg | Scope: PERSONAL | Status: completed | Filename: d8710e60-7d9e-4820-a089-71708bad7727.jpg
ID: aedf0ba3-92f5-4cd6-ad1a-34b01e5bea50 | Original Name: ui_inspo2.jpg | Scope: PERSONAL | Status: completed | Filename: 788e6dda-20a9-468c-b7f5-5e8bd99586ae.jpg
ID: f9e396d1-a9d1-42e8-9a92-09132b36ec93 | Original Name: categories.jpg | Scope: PERSONAL | Status: completed | Filename: 2d801194-9b4c-4f7f-bf16-fe9b2d20ca5c.jpg
ID: a048e12e-9d5a-41fa-89f6-9546dd11170d | Original Name: 1.jpeg | Scope: PERSONAL | Status: completed | Filename: 8d61d063-cf91-475b-b9d0-64d4edd1fe0e.jpeg
ID: de64d0ad-6446-4217-8937-0e8809b16e46 | Original Name: 2.jpeg | Scope: PERSONAL | Status: completed | Filename: 102b9923-13a6-47e3-b4c7-df126046e3df.jpeg
ID: 3c621cac-08a1-4452-9763-ec56b0d2bb3b | Original Name: 3.jpeg | Scope: PERSONAL | Status: completed | Filename: f1ec8d19-0fbe-4c36-81e9-e13b944ae0df.jpeg
ID: 6cd279bc-8836-4cb5-9819-af352d2c34dc | Original Name: 4.jpeg | Scope: PERSONAL | Status: completed | Filename: f0a5f72b-81ea-4f5d-ad77-8316d079aab3.jpeg
ID: f52c3d86-3256-4055-833a-f3b1faad2ad8 | Original Name: 5.jpeg | Scope: PERSONAL | Status: completed | Filename: 1f141b2c-1a4d-42be-adc4-87878d4bdd80.jpeg
ID: a6f73767-920c-4f23-8838-367b844b6d46 | Original Name: archi_kanungo. (2).pdf | Scope: PERSONAL | Status: completed | Filename: a8f5c24e-9f9b-4c1a-9f75-ea068848c434.pdf
ID: ceb93997-e363-4f58-a101-311b8f2437ed | Original Name: Docsy Rag Backend Progress And Roadmap.pdf | Scope: PERSONAL | Status: completed | Filename: b8d7d5aa-9ed5-4599-81a8-9416e998bdbb.pdf
ID: f25725cf-9234-443f-be7f-22eb5cce7112 | Original Name: message (1).txt | Scope: PERSONAL | Status: completed | Filename: aafcc441-b1b8-4dfe-8bc3-7800824dd907.txt
ID: 3acb5d79-1d34-44e1-96d3-16e8a6ef9e3e | Original Name: Index portfolio.jpg | Scope: PERSONAL | Status: completed | Filename: 647aad7b-4ada-4480-9d43-316548cc3e23.jpg
ID: dba36610-cf6b-46a3-b3b6-9aef311d7e30 | Original Name: download (13).jpg | Scope: PERSONAL | Status: completed | Filename: 6558c153-a078-4d33-a115-53b99e3a22b5.jpg
ID: 39e93df6-37ad-4afc-8b7f-41c434da2a95 | Original Name: Вот это да!.jpg | Scope: PERSONAL | Status: completed | Filename: 842bf49b-f925-4b47-be65-31c9abbe6b76.jpg
ID: 1d2d3ade-6763-4eb6-b960-e6a81021fa02 | Original Name: download (14).jpg | Scope: PERSONAL | Status: completed | Filename: 50125bb4-d720-4f54-8487-14de02d0af20.jpg
ID: 9dc7b367-3dff-4e17-80fd-0a7ad0eceff7 | Original Name: X.jpg | Scope: PERSONAL | Status: completed | Filename: 2f7e78be-9b34-435b-a146-3d81b21829c7.jpg
ID: 54675ff6-bf53-4007-8d67-0e8cc1017e1a | Original Name: Твой гид в AI-дизайн.jpg | Scope: PERSONAL | Status: completed | Filename: f21d77b9-4b73-458b-a108-fa30ed2ae4b0.jpg
ID: da514204-30fa-49a2-b1d9-344651ec0b52 | Original Name: download (15).jpg | Scope: PERSONAL | Status: completed | Filename: 4716fba9-03b5-401c-b26f-c7b637ef84f5.jpg
ID: 56ec0b94-2b51-489d-b6ce-33ac96053f90 | Original Name: To recreate or put in a video shoot angels ideas.jpg | Scope: PERSONAL | Status: completed | Filename: 21b0af2a-7bc8-42ec-aa15-ab15324215cc.jpg
ID: 932f5f52-8342-4990-853b-1e533924b4b5 | Original Name: Art _ Midjourney.jpg | Scope: PERSONAL | Status: completed | Filename: acc51fe3-a499-40c3-8626-a37244b1eaec.jpg
